,20151231,20160331,20160630,20160930,20161230,20170331,20170630,20170929,20171229,20180330,20180629,20180928,20181228,20190329,20190628,20190930,20191231,20200331,20200630,20200930
0,000156.SZ,601099.SH,600783.SH,600005.SH,000001.SZ,600703.SH,000001.SZ,600518.SH,002310.SZ,601633.SH,000001.SZ,000001.SZ,000001.SZ,000651.SZ,000001.SZ,000063.SZ,600031.SH,000001.SZ,000001.SZ,600438.SH
1,600642.SH,600011.SH,601398.SH,000776.SZ,000002.SZ,600704.SH,000002.SZ,600519.SH,002352.SZ,000540.SZ,000002.SZ,000002.SZ,000002.SZ,000661.SZ,000002.SZ,000001.SZ,600036.SH,000002.SZ,000002.SZ,601658.SH
2,601179.SH,002024.SZ,601009.SH,000009.SZ,000008.SZ,600705.SH,000008.SZ,600522.SH,002385.SZ,601608.SH,000060.SZ,000060.SZ,000063.SZ,000671.SZ,000063.SZ,000002.SZ,600038.SH,000063.SZ,000063.SZ,002001.SZ
3,601989.SH,002008.SZ,600582.SH,600606.SH,000009.SZ,600718.SH,000009.SZ,600535.SH,002411.SZ,000839.SZ,000063.SZ,000063.SZ,000069.SZ,000703.SZ,000069.SZ,000069.SZ,600048.SH,000069.SZ,000066.SZ,002007.SZ
4,600271.SH,000776.SZ,600795.SH,300015.SZ,000027.SZ,600737.SH,600893.SH,600547.SH,002415.SZ,000858.SZ,000069.SZ,000069.SZ,000100.SZ,000709.SZ,000100.SZ,000100.SZ,600050.SH,000423.SZ,000069.SZ,002008.SZ
5,000338.SZ,000738.SZ,000728.SZ,000538.SZ,000039.SZ,600739.SH,600895.SH,600549.SH,002424.SZ,300017.SZ,000100.SZ,000100.SZ,000157.SZ,000725.SZ,000157.SZ,000157.SZ,600061.SH,000157.SZ,000157.SZ,600482.SH
6,601991.SH,600649.SH,600309.SH,600900.SH,000060.SZ,600741.SH,600900.SH,600570.SH,002426.SZ,600208.SH,000157.SZ,000157.SZ,000166.SZ,000728.SZ,000166.SZ,000166.SZ,600066.SH,000413.SZ,000425.SZ,002024.SZ
7,002465.SZ,300058.SZ,600252.SH,600089.SH,000061.SZ,600754.SH,600909.SH,600583.SH,002450.SZ,601555.SH,000166.SZ,000166.SZ,000333.SZ,000768.SZ,000333.SZ,000333.SZ,600068.SH,000415.SZ,000538.SZ,601816.SH
8,600887.SH,601336.SH,601600.SH,600252.SH,000063.SZ,600783.SH,600919.SH,600585.SH,002456.SZ,000630.SZ,000333.SZ,000333.SZ,000338.SZ,000776.SZ,000338.SZ,000338.SZ,600085.SH,000425.SZ,000568.SZ,002027.SZ
9,000623.SZ,600000.SH,600153.SH,002142.SZ,000069.SZ,600795.SH,600926.SH,600588.SH,002460.SZ,002468.SZ,000338.SZ,000338.SZ,000402.SZ,000783.SZ,000402.SZ,000402.SZ,600089.SH,000538.SZ,000596.SZ,002032.SZ
10,600959.SH,600863.SH,000783.SZ,300017.SZ,000100.SZ,600804.SH,600958.SH,600606.SH,002465.SZ,600376.SH,000402.SZ,000402.SZ,000408.SZ,000786.SZ,000408.SZ,000408.SZ,600100.SH,000568.SZ,000625.SZ,600027.SH
11,300315.SZ,000166.SZ,600009.SH,600398.SH,000156.SZ,600816.SH,600959.SH,600637.SH,002466.SZ,002673.SZ,000413.SZ,000413.SZ,000413.SZ,000792.SZ,000413.SZ,000413.SZ,600104.SH,000596.SZ,000627.SZ,002044.SZ
12,601818.SH,600783.SH,601088.SH,600010.SH,000157.SZ,600820.SH,600977.SH,600649.SH,002468.SZ,601333.SH,000415.SZ,000415.SZ,000415.SZ,000826.SZ,000415.SZ,000415.SZ,600109.SH,000625.SZ,000651.SZ,002050.SZ
13,000060.SZ,601628.SH,600398.SH,600871.SH,000166.SZ,600827.SH,600999.SH,600660.SH,002470.SZ,601877.SH,000423.SZ,000423.SZ,000423.SZ,000839.SZ,000423.SZ,000423.SZ,600111.SH,000627.SZ,000656.SZ,601988.SH
14,600009.SH,000623.SZ,600019.SH,601866.SH,000333.SZ,600837.SH,601006.SH,600663.SH,002475.SZ,000069.SZ,000425.SZ,000425.SZ,000425.SZ,000858.SZ,000425.SZ,000425.SZ,600115.SH,000629.SZ,000661.SZ,002153.SZ
15,002129.SZ,002195.SZ,002129.SZ,600570.SH,000338.SZ,600839.SH,601009.SH,600674.SH,002500.SZ,002572.SZ,000503.SZ,000503.SZ,000503.SZ,000876.SZ,000538.SZ,000538.SZ,600118.SH,000630.SZ,000671.SZ,002146.SZ
16,600415.SH,000538.SZ,601216.SH,601390.SH,000402.SZ,600867.SH,601018.SH,600682.SH,002508.SZ,600018.SH,000538.SZ,000538.SZ,000538.SZ,000895.SZ,000553.SZ,000553.SZ,600153.SH,000651.SZ,000703.SZ,600048.SH
17,601211.SH,600100.SH,600688.SH,601186.SH,000413.SZ,600871.SH,601021.SH,600685.SH,002555.SZ,600977.SH,000540.SZ,000540.SZ,000553.SZ,000898.SZ,000568.SZ,000568.SZ,600170.SH,000656.SZ,000708.SZ,601006.SH
18,600188.SH,002252.SZ,300104.SZ,601088.SH,000415.SZ,600873.SH,601088.SH,600688.SH,002558.SZ,002831.SZ,000559.SZ,000559.SZ,000568.SZ,000938.SZ,000596.SZ,000596.SZ,600176.SH,000661.SZ,000709.SZ,601111.SH
19,600489.SH,601377.SH,000876.SZ,600317.SH,000423.SZ,600875.SH,601099.SH,600690.SH,002572.SZ,600482.SH,000568.SZ,000568.SZ,000625.SZ,000959.SZ,000625.SZ,000625.SZ,600177.SH,000671.SZ,000723.SZ,600018.SH
20,300070.SZ,000027.SZ,000415.SZ,000069.SZ,000425.SZ,600886.SH,601111.SH,600703.SH,002594.SZ,601375.SH,000623.SZ,000623.SZ,000627.SZ,000961.SZ,000627.SZ,000627.SZ,600183.SH,000703.SZ,000725.SZ,601398.SH
21,300017.SZ,000876.SZ,600685.SH,601211.SH,000503.SZ,600887.SH,601117.SH,600704.SH,002601.SZ,601998.SH,000625.SZ,000625.SZ,000630.SZ,000963.SZ,000629.SZ,000629.SZ,600188.SH,000709.SZ,000728.SZ,601628.SH
22,600570.SH,300146.SZ,000039.SZ,600109.SH,000538.SZ,600893.SH,601118.SH,600705.SH,002602.SZ,002736.SZ,000627.SZ,000627.SZ,000651.SZ,000983.SZ,000630.SZ,000630.SZ,601818.SH,000723.SZ,000768.SZ,002120.SZ
23,601958.SH,000825.SZ,601668.SH,000729.SZ,000540.SZ,600895.SH,601127.SH,600718.SH,002608.SZ,600061.SH,000630.SZ,000630.SZ,000661.SZ,001965.SZ,000651.SZ,000651.SZ,601828.SH,000725.SZ,000776.SZ,601166.SH
24,600406.SH,600060.SH,600109.SH,600741.SH,000555.SZ,600900.SH,601155.SH,600737.SH,002624.SZ,601878.SH,000651.SZ,000651.SZ,000671.SZ,001979.SZ,000656.SZ,000656.SZ,601838.SH,000728.SZ,000783.SZ,002463.SZ
25,601628.SH,600015.SH,600737.SH,000425.SZ,000559.SZ,600958.SH,601163.SH,600739.SH,002673.SZ,601881.SH,000671.SZ,000671.SZ,000703.SZ,002001.SZ,000661.SZ,000661.SZ,601857.SH,000768.SZ,000786.SZ,601318.SH
26,600369.SH,601618.SH,002142.SZ,600153.SH,000568.SZ,600959.SH,601166.SH,600741.SH,002714.SZ,601009.SH,000709.SZ,000709.SZ,000709.SZ,002007.SZ,000671.SZ,000671.SZ,601877.SH,000776.SZ,000858.SZ,002129.SZ
27,600398.SH,000729.SZ,300124.SZ,601618.SH,000623.SZ,600999.SH,601169.SH,600795.SH,002736.SZ,600485.SH,000723.SZ,000723.SZ,000725.SZ,002008.SZ,000703.SZ,000703.SZ,601878.SH,000783.SZ,000860.SZ,000338.SZ
